"","ESGU","GSPC","IWDA","SUWS","Rate_10Y"
"2022-12-01",86.4742736816406,4076.57006835938,73.3249969482422,6.99384450912476,3.53
"2022-12-02",86.3787307739258,4071.69995117188,73.0100021362305,6.97719240188599,3.51
"2022-12-05",84.71630859375,3998.84008789062,72.370002746582,6.92723655700684,3.6
"2022-12-06",83.4551773071289,3941.26000976562,71.3600006103516,6.84040832519531,3.51
"2022-12-07",83.3596343994141,3933.919921875,70.9749984741211,6.79639911651611,3.42
"2022-12-08",84.0666351318359,3963.51000976562,71.1500015258789,6.84159803390503,3.48
"2022-12-09",83.4551773071289,3934.3798828125,71.4800033569336,6.88798522949219,3.57
"2022-12-12",84.6398849487305,3990.56005859375,71.1750030517578,6.84635543823242,3.61
"2022-12-13",85.3113174438477,4019.64990234375,72.1999969482422,6.9867091178894,3.51
"2022-12-14",84.7645797729492,3995.32006835938,72.0500030517578,6.98551797866821,3.49
"2022-12-15",82.6927032470703,3895.75,69.5650024414062,6.74746608734131,3.44
"2022-12-16",81.5992126464844,3852.36010742188,69.004997253418,6.66152620315552,3.48
"2022-12-19",80.8606414794922,3817.65991210938,68.7350006103516,6.64123439788818,3.57
"2022-12-20",80.9853286743164,3821.6201171875,68.4749984741211,6.60542678833008,3.69
"2022-12-21",82.2226943969727,3878.43994140625,69.7399978637695,6.6985273361206,3.68
"2022-12-22",80.9181747436523,3822.38989257812,68.6549987792969,6.57677984237671,3.67
"2022-12-23",81.3786010742188,3844.82006835938,68.8199996948242,6.61616897583008,3.75
"2022-12-26",81.3786010742188,3844.82006835938,68.8199996948242,6.61616897583008,3.75
"2022-12-27",81.0620574951172,3829.25,68.8300018310547,6.61616897583008,3.84
"2022-12-28",80.1028823852539,3783.21997070312,68.4550018310547,6.55529499053955,3.88
"2022-12-29",81.5608367919922,3849.28002929688,68.9599990844727,6.64123439788818,3.83
"2022-12-30",81.2922668457031,3839.5,68.2850036621094,6.61019992828369,3.88
"2023-01-02",81.2922668457031,3839.5,69.8600006103516,6.61019992828369,3.88
"2023-01-03",80.9949188232422,3824.13989257812,69.1650009155273,6.56484270095825,3.79
"2023-01-04",81.5608367919922,3852.96997070312,69.7900009155273,6.66033220291138,3.69
"2023-01-05",80.6208343505859,3808.10009765625,69.3899993896484,6.57677984237671,3.71
"2023-01-06",82.3953399658203,3895.080078125,70.0550003051758,6.69017219543457,3.55
"2023-01-09",82.3953399658203,3892.09008789062,70.4700012207031,6.85250282287598,3.53
"2023-01-10",83.0667953491211,3919.25,69.7249984741211,6.76059484481812,3.61
"2023-01-11",84.0643768310547,3969.61010742188,70.3450012207031,6.83937358856201,3.54
"2023-01-12",84.4576263427734,3983.169921875,70.5449981689453,6.89308595657349,3.43
"2023-01-13",84.8605041503906,3999.09008789062,70.7750015258789,6.92650699615479,3.49
"2023-01-16",84.8605041503906,3999.09008789062,71.1350021362305,6.96828365325928,3.49
"2023-01-17",84.7166137695312,3990.96997070312,71.3349990844727,6.98738098144531,3.53
"2023-01-18",83.3449630737305,3928.86010742188,70.9300003051758,6.96708917617798,3.37
"2023-01-19",82.6639404296875,3898.85009765625,69.875,6.82982492446899,3.39
"2023-01-20",84.2274322509766,3972.61010742188,70.379997253418,6.90144109725952,3.48
"2023-01-23",85.2825546264648,4019.81005859375,71.4349975585938,7.03035068511963,3.52
"2023-01-24",85.1386566162109,4016.94995117188,71.2850036621094,7.04586696624756,3.46
"2023-01-25",85.1674499511719,4016.21997070312,70.7200012207031,6.99334907531738,3.46
"2023-01-26",86.1266250610352,4060.42993164062,71.5650024414062,7.06615924835205,3.49
"2023-01-27",86.4048233032227,4070.56005859375,72.2249984741211,7.12703275680542,3.52
"2023-01-30",85.2729339599609,4017.77001953125,71.8550033569336,7.12345123291016,3.55
"2023-01-31",86.5582733154297,4076.60009765625,71.7900009155273,7.11270952224731,3.52
"2023-02-01",87.4887084960938,4119.2099609375,71.745002746582,7.14493751525879,3.39
"2023-02-02",88.8603515625,4179.759765625,73.4400024414062,7.31323623657227,3.4
"2023-02-03",87.843620300293,4136.47998046875,73.8199996948242,7.29771852493286,3.53
"2023-02-06",87.2393112182617,4111.080078125,73.4400024414062,7.21058559417725,3.63
"2023-02-07",88.3423919677734,4164,73.5999984741211,7.17835807800293,3.67
"2023-02-08",87.3640060424805,4117.85986328125,73.5,7.22490930557251,3.63
"2023-02-09",86.5295104980469,4081.5,73.6100006103516,7.26907300949097,3.67
"2023-02-10",86.7021484375,4090.4599609375,73.2350006103516,7.14135694503784,3.74
"2023-02-13",87.7189102172852,4137.2900390625,73.745002746582,7.22013425827026,3.72
"2023-02-14",87.7764739990234,4136.1298828125,73.4150009155273,7.21177911758423,3.77
"2023-02-15",88.1409530639648,4147.60009765625,74.0550003051758,7.23803758621216,3.81
"2023-02-16",86.9227905273438,4090.40991210938,73.9850006103516,7.23326444625854,3.86
"2023-02-17",86.6254272460938,4079.09008789062,73.0950012207031,7.11867761611938,3.82
"2023-02-20",86.6254272460938,4079.09008789062,73.2399978637695,7.15567970275879,3.82
"2023-02-21",84.8413238525391,3997.34008789062,72.5299987792969,7.06138372421265,3.95
"2023-02-22",84.774169921875,3991.05004882812,72.4700012207031,7.02318906784058,3.93
"2023-02-23",85.3017272949219,4012.32006835938,72.4550018310547,7.03751230239868,3.88
"2023-02-24",84.294563293457,3970.0400390625,72.0999984741211,6.9802188873291,3.95
"2023-02-27",84.6206970214844,3982.23999023438,72.5,7.0578031539917,3.92
"2023-02-28",84.2849807739258,3970.14990234375,72.254997253418,7.04706144332886,3.92
"2023-03-01",84.0163879394531,3951.38989257812,71.4850006103516,6.98379993438721,4.01
"2023-03-02",84.6494674682617,3981.35009765625,71.8399963378906,6.9694766998291,4.08
"2023-03-03",86.0115432739258,4045.63989257812,73.0250015258789,7.0816764831543,3.97
"2023-03-06",85.9635772705078,4048.419921875,73.3099975585938,7.14135694503784,3.98
